"filename", "language", "Dart", "YAML", "C++", "CMake", "Markdown", "Groovy", "XML", "Swift", "JSON", "Java Properties", "HTML", "Kotlin", "Java", "comment", "blank", "total"
"/home/mdd/文档/flutter/iot/README.md", "Markdown", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"/home/mdd/文档/flutter/iot/analysis_options.yaml", "YAML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 4, 30
"/home/mdd/文档/flutter/iot/android/app/build.gradle", "Groovy", 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 6, 14, 74
"/home/mdd/文档/flutter/iot/android/app/src/debug/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4, 1, 9
"/home/mdd/文档/flutter/iot/android/app/src/main/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 6, 2, 45
"/home/mdd/文档/flutter/iot/android/app/src/main/java/io/flutter/app/FlutterMultiDexApplication.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 9, 4, 26
"/home/mdd/文档/flutter/iot/android/app/src/main/kotlin/com/example/iot/MainActivity.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 3, 7
"/home/mdd/文档/flutter/iot/android/app/src/main/res/drawable-v21/launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 7, 2, 13
"/home/mdd/文档/flutter/iot/android/app/src/main/res/drawable/launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 7, 2, 13
"/home/mdd/文档/flutter/iot/android/app/src/main/res/values-night/styles.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9, 1, 19
"/home/mdd/文档/flutter/iot/android/app/src/main/res/values/styles.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9, 1, 19
"/home/mdd/文档/flutter/iot/android/app/src/profile/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4, 1, 9
"/home/mdd/文档/flutter/iot/android/build.gradle", "Groovy", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32
"/home/mdd/文档/flutter/iot/android/gradle.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"/home/mdd/文档/flutter/iot/android/gradle/wrapper/gradle-wrapper.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"/home/mdd/文档/flutter/iot/android/settings.gradle", "Groovy", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"/home/mdd/文档/flutter/iot/ios/Runner/AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"/home/mdd/文档/flutter/iot/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 1, 123
"/home/mdd/文档/flutter/iot/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 1, 24
