Date : 2022-11-23 18:10:10
Directory : /home/mdd/文档/flutter/iot
Total : 58 files,  2575 codes, 344 comments, 379 blanks, all 3298 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| Dart            |         10 |      1,080 |         71 |        100 |      1,251 |
| C++             |         16 |        502 |        107 |        170 |        779 |
| XML             |         10 |        475 |         48 |         13 |        536 |
| JSON            |          4 |        248 |          0 |          4 |        252 |
| Groovy          |          3 |         89 |          6 |         23 |        118 |
| Swift           |          4 |         44 |          3 |         12 |         59 |
| CMake           |          2 |         37 |          0 |         12 |         49 |
| HTML            |          1 |         37 |         16 |          6 |         59 |
| YAML            |          2 |         25 |         84 |         21 |        130 |
| Markdown        |          2 |         13 |          0 |          9 |         22 |
| Java            |          1 |         13 |          9 |          4 |         26 |
| Java Properties |          2 |          8 |          0 |          2 |         10 |
| Kotlin          |          1 |          4 |          0 |          3 |          7 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                              | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                 |         58 |      2,575 |        344 |        379 |      3,298 |
| android                                                                                           |         14 |        185 |         61 |         42 |        288 |
| android/app                                                                                       |         10 |        142 |         61 |         31 |        234 |
| android/app/src                                                                                   |          9 |         88 |         55 |         17 |        160 |
| android/app/src/debug                                                                             |          1 |          4 |          4 |          1 |          9 |
| android/app/src/main                                                                              |          7 |         80 |         47 |         15 |        142 |
| android/app/src/main/java                                                                         |          1 |         13 |          9 |          4 |         26 |
| android/app/src/main/java/io                                                                      |          1 |         13 |          9 |          4 |         26 |
| android/app/src/main/java/io/flutter                                                              |          1 |         13 |          9 |          4 |         26 |
| android/app/src/main/java/io/flutter/app                                                          |          1 |         13 |          9 |          4 |         26 |
| android/app/src/main/kotlin                                                                       |          1 |          4 |          0 |          3 |          7 |
| android/app/src/main/kotlin/com                                                                   |          1 |          4 |          0 |          3 |          7 |
| android/app/src/main/kotlin/com/example                                                           |          1 |          4 |          0 |          3 |          7 |
| android/app/src/main/kotlin/com/example/iot                                                       |          1 |          4 |          0 |          3 |          7 |
| android/app/src/main/res                                                                          |          4 |         26 |         32 |          6 |         64 |
| android/app/src/main/res/drawable                                                                 |          1 |          4 |          7 |          2 |         13 |
| android/app/src/main/res/drawable-v21                                                             |          1 |          4 |          7 |          2 |         13 |
| android/app/src/main/res/values                                                                   |          1 |          9 |          9 |          1 |         19 |
| android/app/src/main/res/values-night                                                             |          1 |          9 |          9 |          1 |         19 |
| android/app/src/profile                                                                           |          1 |          4 |          4 |          1 |          9 |
| android/gradle                                                                                    |          1 |          5 |          0 |          1 |          6 |
| android/gradle/wrapper                                                                            |          1 |          5 |          0 |          1 |          6 |
| ios                                                                                               |          7 |        222 |          2 |          9 |        233 |
| ios/Runner                                                                                        |          7 |        222 |          2 |          9 |        233 |
| ios/Runner/Assets.xcassets                                                                        |          3 |        148 |          0 |          4 |        152 |
| ios/Runner/Assets.xcassets/AppIcon.appiconset                                                     |          1 |        122 |          0 |          1 |        123 |
| ios/Runner/Assets.xcassets/LaunchImage.imageset                                                   |          2 |         26 |          0 |          3 |         29 |
| ios/Runner/Base.lproj                                                                             |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                               |          9 |      1,066 |         61 |         93 |      1,220 |
| linux                                                                                             |          6 |        112 |         27 |         44 |        183 |
| linux/flutter                                                                                     |          3 |         26 |          9 |         17 |         52 |
| macos                                                                                             |          5 |        443 |          3 |         12 |        458 |
| macos/Flutter                                                                                     |          1 |         12 |          3 |          4 |         19 |
| macos/Runner                                                                                      |          4 |        431 |          0 |          8 |        439 |
| macos/Runner/Assets.xcassets                                                                      |          1 |         68 |          0 |          1 |         69 |
